"C:\Program Files (x86)\Steam\steamapps\common\SourceFilmmaker\game\sfm.exe" +sv_lan 1 -useqtport -tools -dev -sw -w 1280 -h 720 +mat_hdr_level 3 +mat_queue_mode 0 -game usermod -insecure

c:\users\timothy\documents\github\sfmanimation\scene1.dmx#0

1280x720 @24.00 fps
motion blur samples:    per-camera settings
depth of field samples: per-camera settings

Frame  	Frame  	Total  	Shot                   	Map                    	DoF    	MBlur  	Total
Number 	Time   	Time   	Name                   	Name                   	Count  	Count  	Count
    212	  0.292	     93	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    213	  0.292	     93	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    214	  0.279	     94	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    215	  0.290	     94	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    216	  0.304	     94	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    217	  0.302	     95	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    218	  0.315	     95	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    219	  0.315	     95	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    220	  0.311	     96	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    221	  0.314	     96	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    222	  0.315	     96	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    223	  0.301	     96	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    224	  0.313	     97	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    225	  0.317	     97	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    226	  0.289	     97	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    227	  0.314	     98	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    228	  0.317	     98	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    229	  0.318	     98	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    230	  0.313	     99	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    231	  0.315	     99	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    232	  0.273	     99	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    233	  0.314	    100	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    234	  0.271	    100	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    235	  0.263	    100	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    236	  0.271	    100	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    237	  0.274	    101	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    238	  0.316	    101	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    239	  0.328	    101	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    240	  0.322	    102	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    241	  0.320	    102	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    242	  0.286	    102	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    243	  0.277	    102	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    244	  0.313	    103	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    245	  0.270	    103	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    246	  0.309	    103	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    247	  0.319	    104	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    248	  0.329	    104	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    249	  0.322	    104	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    250	  0.329	    105	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    251	  0.270	    105	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    252	  0.287	    105	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    253	  0.280	    106	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    254	  0.276	    106	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    255	  0.282	    106	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    256	  0.321	    106	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    257	  0.264	    107	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    258	  0.272	    107	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    259	  0.287	    107	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    260	  0.317	    108	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    261	  0.316	    108	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    262	  0.311	    108	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    263	  0.315	    108	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    264	  0.265	    109	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    265	  0.319	    109	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    266	  0.323	    109	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    267	  0.310	    110	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    268	  0.313	    110	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    269	  0.316	    110	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    270	  0.310	    111	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    271	  0.333	    111	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    272	  0.317	    111	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    273	  0.311	    112	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    274	  0.316	    112	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    275	  0.266	    112	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    276	  0.313	    112	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    277	  0.314	    113	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    278	  0.317	    113	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    279	  0.316	    113	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    280	  0.308	    114	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    281	  0.335	    114	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    282	  0.314	    114	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    283	  0.313	    115	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    284	  0.353	    115	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    285	  0.314	    115	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    286	  0.307	    116	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    287	  0.277	    116	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    288	  0.317	    116	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    289	  0.316	    117	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    290	  0.320	    117	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    291	  0.313	    117	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    292	  0.316	    118	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    293	  0.276	    118	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    294	  0.284	    118	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    295	  0.287	    118	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    296	  0.264	    119	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    297	  0.270	    119	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    298	  0.299	    119	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    299	  0.285	    120	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    300	  0.315	    120	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    301	  0.268	    120	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    302	  0.275	    120	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    303	  0.282	    121	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    304	  0.321	    121	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    305	  0.321	    121	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    306	  0.314	    122	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    307	  0.317	    122	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
